kmeans,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,,fuzzycmeans,c=2,c=3,c=4,c=5,c=6,c=7,c=8,c=9,c=10
1,0.653709442,0.64265457,0.543347885,0.421306691,0.384589425,0.424110349,0.438799976,0.387857881,0.385746442,,1,0.651666794,0.636822841,0.543347885,0.57001165,0.452042209,0.456030081,0.438105968,0.419805245,0.413562715
2,0.690953198,0.623299913,0.650128534,0.565227847,0.459930831,0.45606618,0.422569918,0.424300858,0.440107612,,2,0.664855188,0.623299913,0.552959685,0.580211444,0.478232869,0.426673378,0.436315207,0.452910436,0.437264761
3,0.79507639,0.710524667,0.66186964,0.570313714,0.464336049,0.471400053,0.440361868,0.391857191,0.403088973,,3,0.717737791,0.703913126,0.656574664,0.57176803,0.549568322,0.471371854,0.46623906,0.434021832,0.437358832
4,0.764848855,0.666459805,0.672216149,0.594073574,0.488431963,0.486905376,0.461332706,0.463999133,0.423193185,,4,0.727280109,0.663048243,0.587771975,0.587168468,0.504881775,0.464298616,0.454653817,0.447740335,0.441266815
5,0.782107881,0.732806743,0.575652587,0.565738636,0.522704092,0.505663603,0.503859816,0.458012062,0.447281339,,5,0.768576869,0.709758227,0.574237127,0.566632093,0.528920361,0.467542893,0.431719529,0.43314063,0.434728607
6,0.797295335,0.740636873,0.522792757,0.53859069,0.560014538,0.531547472,0.409144625,0.424328351,0.371547167,,6,0.797295335,0.746020143,0.524042756,0.53477349,0.499595667,0.501505898,0.520080691,0.523852533,0.511302529
7,0.890125743,0.51329103,0.658333251,0.589636878,0.576368396,0.485163047,0.382775918,0.35887643,0.331195133,,7,0.890125743,0.667630861,0.627379488,0.636139494,0.617566574,0.529447952,0.518243012,0.500552085,0.426332753
8,0.902270801,0.729913005,0.552292499,0.523690559,0.535162011,0.422164558,0.448954752,0.469357382,0.425468246,,8,0.892544013,0.664752709,0.633857763,0.536100306,0.444900313,0.445124167,0.416313456,0.418550924,0.413755327
9,0.903398969,0.667293701,0.63819721,0.622648187,0.556845967,0.571401469,0.505866003,0.419824737,0.486365183,,9,0.898482004,0.642046745,0.631905086,0.542453134,0.542387311,0.530778781,0.416756395,0.414030289,0.413388956
10,0.975594052,0.861349794,0.650386449,0.560543804,0.560721901,0.511357013,0.462808486,0.462233146,0.472583827,,10,0.975594052,0.761059756,0.636377213,0.572164304,0.538490377,0.493373653,0.493332543,0.44193077,0.434996875
11,0.978400927,0.841733404,0.717790086,0.643714397,0.592600264,0.596737478,0.537992151,0.470388266,0.389874774,,11,0.978400927,0.846790204,0.671706948,0.611137552,0.59840977,0.553068596,0.496241622,0.467301684,0.460698446
12,0.755035086,0.586631078,0.456137336,0.386558082,0.40534191,0.386453808,0.382233167,0.379356801,0.397996693,,12,0.755035086,0.541039627,0.469003837,0.450235255,0.418836503,0.407749343,0.413242963,0.434676475,0.430677196
13,0.899080485,0.593356981,0.468622709,0.403718365,0.463254988,0.420515456,0.410007799,0.370239258,0.346848312,,13,0.899080485,0.593356981,0.542543996,0.516553297,0.48741342,0.434927915,0.430115948,0.359781144,0.390562309
14,0.868264192,0.688810792,0.665201109,0.507835218,0.499830962,0.339832265,0.418967306,0.382531224,0.357797777,,14,0.908203581,0.829310334,0.668768352,0.657527795,0.499763666,0.508056454,0.530532455,0.449391816,0.428426178
15,0.979531129,0.781379851,0.74980375,0.586840456,0.548735091,0.49289629,0.402260243,0.328528412,0.354614658,,15,0.979531129,0.759703374,0.752393208,0.681945767,0.589146103,0.559431283,0.559684057,0.512720439,0.507993533
16,0.906806317,0.798057766,0.747010235,0.655185231,0.55940682,0.561467543,0.499657392,0.507666763,0.507666763,,16,0.894980623,0.761697432,0.746187006,0.659813491,0.557477844,0.557276689,0.545787621,0.500340265,0.502099553
17,0.940854957,0.833736197,0.796619813,0.642731053,0.578818808,0.571992068,0.499564591,0.470762924,0.445369152,,17,0.944474606,0.79535051,0.796619813,0.639901111,0.564035953,0.510802118,0.519075828,0.504336047,0.470250608
18,0.949591026,0.79680435,0.661175788,0.56318943,0.49650573,0.500859053,0.513998133,0.483051301,0.458367884,,18,0.949591026,0.808217759,0.7919419,0.654535352,0.644028615,0.590581211,0.50609472,0.51369001,0.495063242
19,0.948239984,0.788075434,0.676203005,0.593331146,0.505404179,0.468068428,0.419757555,0.357395556,0.371417932,,19,0.948239984,0.789677554,0.789628009,0.655601768,0.59695178,0.589317566,0.522297199,0.527580919,0.482454469
20,0.968302713,0.948709599,0.810939355,0.607881489,0.580886154,0.534925161,0.483283023,0.453527319,0.436733226,,20,0.972477263,0.948709599,0.818657425,0.616208384,0.601630078,0.581497171,0.527666159,0.491367756,0.493887437
21,0.977479991,0.9009551,0.79126687,0.618980612,0.622672373,0.609847241,0.520604116,0.495878248,0.439491062,,21,0.977479991,0.933108498,0.895794016,0.795810235,0.625492721,0.619786709,0.550592913,0.519993184,0.491772075
22,0.882271798,0.608478025,0.477838989,0.545012925,0.399567789,0.466238488,0.383709244,0.3611616,0.30334516,,22,0.88227182,0.608482483,0.609267878,0.548448416,0.538219525,0.530462556,0.518704812,0.462081498,0.469007115
23,0.685683468,0.545963385,0.514937906,0.526020941,0.471546955,0.422368657,0.377300943,0.317723905,0.337903115,,23,0.665460956,0.572270571,0.553812118,0.523295341,0.463167272,0.465783983,0.434037936,0.377688101,0.38106919
24,0.615248076,0.536228721,0.508540483,0.522295634,0.541980861,0.487657486,0.42991928,0.423979132,0.42206334,,24,0.614457927,0.563938279,0.514432673,0.531674148,0.441380217,0.460973182,0.406849942,0.390536647,0.328133869
25,0.955333492,0.628125656,0.566609756,0.499388254,0.510877156,0.45796869,0.495657792,0.423901531,0.407857209,,25,0.732166823,0.624033695,0.564131423,0.500568649,0.485429252,0.486699115,0.430745748,0.405217599,0.398748703
26,0.845570035,0.690745238,0.594953951,0.540366416,0.489902686,0.494510946,0.4837077,0.48668566,0.40113606,,26,0.900808846,0.647742046,0.588582112,0.545922521,0.475626439,0.468788457,0.476183968,0.483802857,0.449129536
27,0.880912472,0.681056646,0.640730482,0.531889329,0.540974258,0.488742721,0.438835881,0.421135159,0.358909686,,27,0.909062288,0.63773482,0.61818451,0.539231079,0.47466129,0.463917312,0.420963749,0.439443574,0.438855163
28,0.90834798,0.710172369,0.70629275,0.649752798,0.621061893,0.491070574,0.443307508,0.454194312,0.468992792,,28,0.908347984,0.796078048,0.683967114,0.645906857,0.598505565,0.519549787,0.475864708,0.455533139,0.446234859
29,0.583065153,0.546964513,0.533673036,0.464767651,0.48332112,0.380424852,0.400841378,0.387035843,0.387035843,,29,0.655185634,0.546979672,0.570814074,0.532500207,0.483607551,0.423366111,0.443593636,0.372822159,0.349768322
30,0.766608127,0.674388202,0.528122244,0.417745627,0.369050198,0.388697785,0.312538265,0.40003879,0.341956771,,30,0.860922624,0.674389546,0.621132557,0.605327889,0.483752373,0.439622224,0.446728812,0.395970046,0.359229884
31,0.879927597,0.737592141,0.700322895,0.702060756,0.576495236,0.579913406,0.569548215,0.577472882,0.536810895,,31,0.842935056,0.720253684,0.657128364,0.609987541,0.56631337,0.544715158,0.516934751,0.498872692,0.461446613
32,0.992127216,0.952632033,0.912757073,0.849454904,0.81574593,0.738962904,0.754116195,0.688317029,0.688412383,,32,0.992127,0.896939,0.882729,0.812821,0.720571,0.637917,0.588053,0.58614,0.51215
33,0.890145627,0.815750089,0.809128582,0.695437873,0.572618899,0.524254068,0.521992526,0.475886011,0.472715251,,33,0.878323155,0.791749898,0.673028934,0.550066588,0.509510134,0.501671854,0.462262695,0.454201879,0.39613683
34,0.90314062,0.796522388,0.748081571,0.714094599,0.678789445,0.594488717,0.510507986,0.478749833,0.465770535,,34,0.890085395,0.779224238,0.706285258,0.629459009,0.591553204,0.505101872,0.488558446,0.477952625,0.455982637
35,0.939182903,0.819586579,0.77610958,0.607712523,0.568553323,0.572188966,0.539755224,0.489385285,0.430386719,,35,0.86711668,0.769353434,0.595886757,0.550222255,0.518086712,0.466233419,0.428965042,0.426137965,0.404022954
36,0.63928526,0.546566855,0.472669431,0.504639942,0.512337529,0.451761733,0.418621215,0.443595818,0.405703502,,36,0.62492249,0.537957884,0.467922288,0.404422552,0.415050686,0.385601205,0.386413098,0.361144847,0.327165694
37,0.697100398,0.588585048,0.560867962,0.516881947,0.492973316,0.463131302,0.416539514,0.450103915,0.449410424,,37,0.649279705,0.590716862,0.5603556,0.526277873,0.465882903,0.489665623,0.475036247,0.473528667,0.461477179
38,0.878349245,0.694644428,0.44647256,0.480529932,0.323082856,0.455281363,0.42022897,0.399341502,0.368419476,,38,0.878349285,0.694647167,0.617260049,0.472489404,0.620377491,0.442654897,0.437119736,0.431401112,0.408044542
39,0.694061602,0.631184243,0.598609063,0.54790319,0.519683519,0.537312446,0.449974357,0.441629173,0.412997257,,39,0.694061916,0.618872034,0.575005,0.580228107,0.542734759,0.547086158,0.530377977,0.510285793,0.468154128
40,0.717196966,0.518376669,0.33210117,0.203206997,0.211859344,0.252602389,0.164396278,0.250890291,0.253687663,,40,0.717196966,0.70276063,0.517178886,0.469711741,0.493642566,0.499830728,0.400505131,0.393745361,0.299399923
41,0.670996112,0.466768626,0.516194372,0.463829748,0.456651512,0.450915674,0.467748401,0.433916926,0.388528314,,41,0.647326723,0.473493583,0.424967616,0.423793137,0.413143773,0.437527283,0.372937678,0.409952881,0.391648081
42,0.652368834,0.639292534,0.509857787,0.509256525,0.465706234,0.380705505,0.394352978,0.356778192,0.306162564,,42,0.646682836,0.448915462,0.510954553,0.509256525,0.472279597,0.373417936,0.368527307,0.339141254,0.347585187
43,0.681431448,0.673128381,0.511227056,0.523243318,0.489641845,0.460460005,0.388577666,0.406830987,0.376025665,,43,0.665721556,0.61943654,0.505039044,0.518724646,0.508121714,0.454884745,0.463095473,0.372370856,0.379673528
44,0.83949643,0.748395984,0.577018724,0.583379869,0.622435351,0.583977078,0.489785486,0.477510101,0.466451047,,44,0.871641929,0.748395984,0.58443692,0.595264059,0.585355229,0.596202239,0.551661033,0.585156671,0.399585431
45,0.522843228,0.587084565,0.414284013,0.399241181,0.212194029,0.226864328,0.387153888,0.314955569,0.29687917,,45,0.545447319,0.339608314,0.381528129,0.432576805,0.455530498,0.43861043,0.351986244,0.354811876,0.277679535
46,0.890963765,0.745681426,0.627764708,0.544896114,0.505450958,0.457287876,0.413909801,0.410309174,0.358427769,,46,0.890963765,0.745681426,0.627764708,0.537294218,0.510602105,0.511589831,0.476309247,0.459426552,0.441617828
47,0.944186366,0.793946459,0.773752586,0.698315383,0.60904656,0.617208037,0.571997332,0.532964322,0.557119859,,47,0.832498902,0.779150382,0.689219664,0.686972945,0.606193908,0.578847829,0.568225034,0.537071428,0.537657796
48,0.973491389,0.676263683,0.53050888,0.567472685,0.560175801,0.500207322,0.51237057,0.463453139,0.376436233,,48,0.973491389,0.667845442,0.558522398,0.524009013,0.562884589,0.550133417,0.4887039,0.492747276,0.422779926
49,0.973490388,0.635093545,0.645185423,0.615391526,0.5299403,0.53944994,0.480003764,0.386832965,0.411430846,,49,0.973490388,0.627460402,0.621842488,0.578732916,0.485615868,0.526053991,0.444428783,0.471178617,0.473672327
50,0.928251657,0.863662543,0.53185662,0.53033225,0.284968449,0.400909956,0.347511437,0.360677168,0.329541108,,50,0.928251657,0.863662543,0.528692139,0.570845918,0.572751197,0.563521131,0.51087623,0.378371628,0.385193
51,0.646782637,0.553477177,0.549338169,0.428732174,0.297482317,0.267735597,0.223180248,0.270945788,0.22803215,,51,0.646782637,0.424469261,0.576870447,0.597103709,0.533919428,0.506816466,0.358633347,0.314833176,0.372697111
52,0.873123045,0.828118095,0.773230869,0.643843061,0.660504934,0.667399621,0.601447998,0.60400367,0.587485485,,52,0.923722414,0.82906623,0.771701169,0.648124498,0.570913634,0.5592007,0.554593,0.584532947,0.565166819
53,0.886492073,0.832306027,0.757042977,0.623120599,0.655242801,0.611323795,0.611689964,0.48852558,0.438300227,,53,0.9268515,0.832306027,0.757210233,0.687484923,0.572460262,0.567271354,0.55980923,0.597420633,0.588058802
54,0.865275807,0.800949936,0.717599429,0.651136517,0.661757111,0.571294092,0.5815034,0.603581132,0.491411916,,54,0.865275807,0.788452316,0.670165241,0.616907094,0.564784649,0.608709392,0.597243081,0.483710034,0.484929289
55,0.870384363,0.815141139,0.72679932,0.718720909,0.567089316,0.592497364,0.511124827,0.533838837,0.52184226,,55,0.88243807,0.82445345,0.738070915,0.73561225,0.718767732,0.567536852,0.677511078,0.565865546,0.561997668
56,0.714924805,0.650583709,0.616800916,0.485934781,0.416308164,0.467506399,0.437559278,0.342213914,0.243843998,,56,0.721478512,0.707578837,0.677411598,0.598848293,0.541395827,0.483027857,0.469234559,0.454547159,0.431768109
